Country Name,Year,GDP_per_capita,Life_Expectancy,Healthcare_Spending
Nigeria,2014,3088.72131316169,51.94,102.39888763
Norway,2014,97666.6951838749,82.1,9116.37792969
Pakistan,2014,1266.61340849959,65.374,32.11787415
Singapore,2014,57564.8023114977,82.4951219512195,2233.34960938
United States,2014,54973.4207515712,78.8414634146341,8796.18261719
Bangladesh,2015,1224.38647668165,70.543,33.20998764
Germany,2015,41929.7549110722,80.6414634146341,4627.27587891
Ethiopia,2015,597.912113218663,63.592,23.21817207
India,2015,1583.99815907985,69.326,58.12401581
Japan,2015,34960.6393843385,83.7939024390244,3754.18115234
"Korea, Rep.",2015,30171.7906545222,82.0243902439024,1933.61779785
Sri Lanka,2015,4057.7158346231,75.99,144.29077148
Nigeria,2015,2585.73360671797,51.939,92.91207123
Norway,2015,74809.9658049898,82.3048780487805,7566.56152344
Pakistan,2015,1380.47020838317,65.641,33.99359894
Singapore,2015,55645.6068614606,82.7439024390244,2330.39599609
United States,2015,56572.9188996063,78.690243902439,9200.85839844
Bangladesh,2016,1649.28380858601,71.075,39.30647659
Germany,2016,42948.9381932694,80.990243902439,4746.77539063
Ethiopia,2016,641.651523286233,64.162,24.34373283
India,2016,1707.50892912243,69.709,59.72652817
Japan,2016,39375.4731620781,83.9848780487805,4194.22802734
"Korea, Rep.",2016,30832.0628072516,82.2756097560976,2015.13208008
Sri Lanka,2016,4149.19190775593,76.136,145.32496643
Nigeria,2016,2070.4127339595,52.189,75.52328491
Norway,2016,70867.3609970749,82.4073170731707,7492.07666016
Pakistan,2016,1424.69161195897,65.943,36.46934128
Singapore,2016,57005.5887176547,82.8463414634146,2488.28295898
United States,2016,57638.1018367192,78.5390243902439,9536.20605469
Bangladesh,2017,1811.08221668646,71.606,42.17510986
Germany,2017,45553.9341495339,80.9926829268293,5065.43164063
Ethiopia,2017,696.348429076216,64.766,24.18239403
India,2017,1950.10468280866,70.068,56.66844559
Japan,2017,38834.0529341227,84.099756097561,4135.24316406
"Korea, Rep.",2017,33296.9845439195,82.6268292682927,2221.75146484
Sri Lanka,2017,4398.88828068715,76.239,142.32518005
Nigeria,2017,1876.34027111773,52.397,70.31814575
Norway,2017,76131.8384032764,82.609756097561,7815.78710938
Pakistan,2017,1519.23459514248,66.223,42.07228851
Singapore,2017,61236.251270627,83.0951219512195,2645.3293457
United States,2017,59635.0984397965,78.5390243902439,9822.37890625
Bangladesh,2018,1965.24372731467,72.122,44.78892899
Germany,2018,48916.1686612154,80.8926829268293,5507.67675781
Ethiopia,2018,739.702022272086,65.257,23.5205574
India,2018,1966.25455171679,70.415,57.46551132
Japan,2018,39751.1330982711,84.2109756097561,4265.77929688
"Korea, Rep.",2018,35363.9508228687,82.6268292682927,2493.33569336
Sri Lanka,2018,4358.56095906047,76.485,154.64622498
Nigeria,2018,2057.87944554011,52.669,63.60244751
Norway,2018,82792.8427113304,82.7585365853659,8271.859375
Pakistan,2018,1569.33814626355,66.481,40.09578323
Singapore,2018,66881.6067035265,83.2975609756098,2688.27270508
United States,2018,62499.8744390068,78.6390243902439,10182.25585938
Bangladesh,2019,2129.79896954606,72.625,47.84217072
Germany,2019,47656.199739747,81.2926829268293,5488.53955078
Ethiopia,2019,793.473247210264,65.741,25.93511963
India,2019,2041.42863698585,70.746,60.6913681
Japan,2019,40415.9567649547,84.3563414634146,4431.29980469
"Korea, Rep.",2019,33826.9443301597,83.2268292682927,2592.47851563
Sri Lanka,2019,4081.94772722003,76.698,154.87071228
Nigeria,2019,3189.81286498516,53.009,67.6254425
Norway,2019,76430.5889473338,82.9585365853659,8007.35546875
Pakistan,2019,1390.41690981745,66.729,36.01374817
Singapore,2019,65952.0378959293,83.5951219512195,2893.78222656
United States,2019,64746.4506778863,78.7878048780488,10546.01367188
Bangladesh,2020,2248.85078828233,71.421,51.00624084
Germany,2020,47394.8734504469,81.0414634146342,5932.20019531
Ethiopia,2020,829.790982547947,65.969,28.28001595
India,2020,1907.04251637669,70.156,63.83099747
Japan,2020,40028.7341726762,84.56,4486.63671875
"Korea, Rep.",2020,33645.7719545073,83.4268292682927,2649.33422852
Sri Lanka,2020,3847.60137695639,76.928,152.001297
Nigeria,2020,2797.18458068686,53.072,67.91384888
Norway,2020,68340.0181033702,83.209756097561,7824.57714844
Pakistan,2020,1278.39735206896,65.701,36.9091301
Singapore,2020,61410.0792630788,83.5439024390244,3492.35986328
United States,2020,63515.9491807833,76.9804878048781,11672.77050781
Bangladesh,2021,2482.84917843357,71.103,58.53958511
Germany,2021,52349.2459994422,80.790243902439,6638.20800781
Ethiopia,2021,893.00983544905,65.33,26.06936646
India,2021,2239.61384367482,67.282,75.54971313
Japan,2021,40094.5599795288,84.4456097560976,4482.61816406
"Korea, Rep.",2021,37518.4635305697,83.5268292682927,3141.52246094
Sri Lanka,2021,3996.96240014909,76.278,157.13322449
Nigeria,2021,2787.48779224428,53.455,81.87322235
Norway,2021,93072.8925119571,83.1634146341463,9163.13867188
Pakistan,2021,1455.31922370186,65.773,42.79639816
Singapore,2021,80056.1288247844,83.0926829268293,4044.17333984
United States,2021,70205.050916026,76.3292682926829,11999.09082031
Bangladesh,2022,2716.48592780431,74.265,61.09237671
Germany,2022,50506.5179638543,80.6080487804878,6182.34375
Ethiopia,2022,982.103161506992,66.897,27.0685215
India,2022,2347.44829434623,71.698,79.51509857
Japan,2022,34065.6438962526,83.9963414634146,3889.35717773
"Korea, Rep.",2022,34822.4048404971,82.6804878048781,3049.67163086
Sri Lanka,2022,3342.63650253855,77.3,145.55810547
Nigeria,2022,2899.16047470324,54.079,90.92185211
Norway,2022,109269.520580298,82.509756097561,8692.57617188
Pakistan,2022,1538.3228133171,67.417,38.76602173
Singapore,2022,90299.0694637269,82.8951219512195,4320.51611328
United States,2022,76657.2488844403,77.4341463414634,12434.43359375
Germany,2023,54776.7668235491,80.5414634146342,6232.59130859
"Korea, Rep.",2023,35674.095995632,83.4292682926829,3269.70385742
